,4.0 out of 5 stars,5.0 out of 5 stars,3.0 out of 5 stars,1.0 out of 5 stars,2.0 out of 5 stars
0,"Do not use sd card. Buy device with more storage. I found out what was wrong with my 7"" fire after I got this tablet. I got the 7"" to play my games on because I wanted to play on a bigger screen that is light. However, I had a problem within months of getting it & called customer service. The representative did screen sharing & although she couldn't exactly figure out the problem, she found a solution. Months later, though, I had the same problem, but was so ticked off about it that I didn't call for a long time. Finally called & as soon as I told rep about issue playing facebook games, he said to call facebook. Obviously rep is not familiar with facebook, because you can't call them. You message them on pc/app. I explained that I kept receiving an error message about an embedded browser, but the rep wouldn't screenshare to see what I was seeing & just wanted to get me off the phone & not try to solve my problem. After that, call, I worked on my facebook settings to see if I could get my games to work again & had initial success but had the problem again.  I mention all this because the same thing happened with the 8"", but this time I had clues from my 7"" issues to help me solve the problem. Initially I played my games without using a sd card, but I had problem when I put it in. I erased & reformatted it first & received a warning that it may slow things down. It did. My game was so slow that I took out the sd card. This took out all the games I had transferred, so I put the card back in and got the embedded browser error message. I tried a new sd card, same issue plus another issue I had had with my 7"". I kept get messages when I opened my tablet that the sd card was missing & it wouldn't let me use it till I 'reinserted' the sd card. The sd card was never missing, it was in the tablet the entire time, but i took it out then put it back in.  THAT was the PROBLEM the whole time, the SD CARD! I didn't play games on the 7"" till after I put in sd card. Since I played games on the 8"" before putting in sd card I knew the problem wasn't the facebook's, but Amazon's. The way the device is set up, it is finicky about the sd card. Device doesn't always recognize that the sd card is in & taking it out & putting it back in just causes problems with apps that were moved to it. The best option is to NOT USE SD CARD.  I took out the sd card, did a factory reset (I had just bought this & the only thing I had done on it was play games, so I didn't lose anything) then set it back up and enjoyed my games again. You CAN play facebook games on fire devices because they are on the app store, there is no problem with facebook, it's the sd card. My recommendation is that if you use a lot of apps on a tablet, buy the tablet with more storage. Using a sd card is more headache that it is worth. Also, I tried 2 different brands of sd card & same issue. I bought the 32GB tablet which does suit my needs.  Also, this device works fine. I would have given it 5 stars if it hadn't been for the sd card issue. Do Not Use SD Card!  What really bums me out is that I finally figured out what the issue was on the 7"" fire, but only after I'd traded it for a bigger tablet. I thought that the issues I was having were because the 7"" wasn't as advanced as the 8"" which I thought was weird since I had an older 7"" that worked fine. The Amazon reps need new training to better help with Fire issues such as I had. I didn't appreciate being brushed off by the last rep I spoke with & if the reps did get better training, I would have still have the 7"" that I really wanted. On the plus side, due to Amazon's error/poor training, you now  know Not to get a sd card for your Fire.",,,,
1,"The extra RAM is essential but there are significant problems with the design Good: Inexpensive, high battery life, adequate performance, USB-C chargingBad:  Hard to hold, thick and heavy for screen size, unacceptable button placement, wireless charging turns device into echo show with ads - a feature I would pay to remove!I have owned three Fire HD 8 tablets and each generation has gotten more annoying to use because of compromises in the design intended to make them less expensive to produce.  I am extremely happy that Amazon has decided to market this upgraded version with 3 GB of RAM because that is now the minimum needed to run Android or Fire OS smoothly. The 1.5 that came with my second Fire HD8 never worked - it just isn't enough anymore, whereas the 2 GB that came with my first HD8  waa plenty for that era.  I think Amazon was foolish to make that change on the base HD8 because of the added frustration to the end user, but at least there is a choice to upgrade to this ""plus"" version with its frustration-free 3GB setup.  Is the experience as smooth or responsive as even the least expensive iPad?  Certainly not.  But those start at $400 and this was closer to $120.  What I really want is a $185 option that combines this specification or better with the physical design and form factor of earlier Fire HD8 generations, because when it comes to physical design this generation of Fire tablets is extremely annoying!  I am sure the changes are all designed to minimize cost but please find a better to do that than to put the power and volume buttons so close together with such a similar size and feel.  It is far too easy to press the power button to begin with because it protrudes to far from the case and doesn't have a very strong spring, but when you put it right next to an identical feeling volume button that is just unacceptable!  There is good reason why almost every phone and tablet in the world has these buttons in different locations ( often opposite sides or ends of the phone.)I happen to believe that it probably would work to have both buttons on the same end as the charger and headphone jack but not if you put them this close together, and give them exactly the same tactile feel and the same overly light spring rate. Please at least recess the power button, use a different surface texture and a stiffer spring. Or better yet move it to the opposite corner where the headphone Jack is now.And for users with the current, unfortunate design you could eliminate the worst effects with a software update. Just modify the software to require a longer press of the power key before it shuts down the display.  If a one-second press were required then it would eliminate 90% of the instances when I have accidentally shut down the screen trying n to change the volume.  With no security options other than a pass code, tis means I almost every time I try to adjust the volume while listening to a podcast or watching a video I have that experience interupted and I end up having to enter my pass code and physically restart what I was listening to just because I tried to adjust the volume.  This design choice just doesn't work.  Fix it, Amazon!Another cost saving design choice is that Amazon has allowed the HD8 tablets to get thicker each generation, which I agree is probably reasonable.  But between the thicker body and the much smaller bezel compared to previous generations, I am finding this version much more difficult to hold.  I actually think the sensitivity of the screen might also be a factor because if I put fingers on the front edge if the glass at all this registers as a touch. So to prevent that my fingers must stay on the plastic, and there just isn't enough plastic on the front bit the tablet to get a good grip.  That gives the impression of the tablet being heavier and more awkward than it probably is.  And again this could be an issue that might be addressed with software if the screen sensitivity could be decreased a bit to reject unintended ""touches"" at the edges ( in this case beyond the edges). of the screen.My final gripe is going to be about the behavior of the device when put on a wireless charger.  Oddly, when I want to use a wireless charger my intention is to actually charge the device.  It is not to turn my tablet, for which I paid extra to have ads removed from the lock screen into an always on Echo Show with advertising!I'm sure there are some people who might actually use an Echo Show and for them this must feel like an amazing value.  Like getting a second device for free.  But I just want it gone.  I would never willingly use, much less purchase, an Echo Show, particularly one with a working camera, because I can't accept the privacy and security risk. And I certainly don't want another device showering.me with advertising.That said, I don't object at all into Amazon including the Echo Show functionality with the tablet, or even having it run by default when you connect it to a wireless charger, but there needs to be clear documentation about how to control this feature and how to turn it off both permanently and temporarily.  Without that I am actually losing two features I specifically paid for on this tablet, wireless charging and freedom from advertising.  Please do a much better job explaining this feature and how to control it as you update the device software",,,,
2,"Great tablet, wild operating system I do not mean ""Wild"" kindly, but I'll get to that shortly. Sorry for the long read, but I have a lot of thoughts about this particular product to inform you, the end-user of your purchasing decision before you commit a purchase, and as a responsible citizen of the Internet, I've heavily tested the tablet hands-on to see what I can make it do, how I can make it work and where Amazon's hires could improve the overall experience for a multi-adult household.The tablet itself is functional. What else is there to say about it? Inside a home or building, so long the sun isn't shining directly on it the display is bright, with a clear, crisp display and along with a decent battery much bigger than your current handheld mobile device, you also get anywhere between a mediocre and acceptable tablet use experience, depending on how much money you hand to Amazon. I painfully regret not going with the Fire HD 10, but I am a bit of a cheapskate and after having seen what comes with the Fire HD Kids' Pro 8 through an encounter with a daughter of my mother's friend, I figured the Fire HD 8 Plus would be the same exact experience — and I can happily say, it is.The inclusion of a three-pole phone socket for headphones and TF / micro SD slot for extra storage practically makes it the ideal tablet computer… until you try to use it as a multi-user tablet computer. But we'll get to those gripes later. First impressions of the hardware makes it seem like the absolute perfect device for personal and work use, domestic and abroad. A simple tablet with great features. Except for a GSM / SIM slot but if you already have a mobile handheld, the Fire can use wireless tethering whenever the tablet needs access to the Internet where WiFi isn't available, and it can do calls via WiFi so that's something if your friends aren't using any of the supported social network platforms available through Amazon's app market.Fire OS on the other hand, that's uhm — fun. Yes, fun. If you receive nothing else from this, should you be the sole adult of the tablet, then you have nothing to worry about. Everything just works — for you. For anyone else? Yeah, nah. Show mode is honestly a great inclusion, as well Alexa Hands-Free — it's like if you have a general-purpose tablet, Amazon Show desktop unit and phone (which can only do calls via WiFi) for what was at the time of Prime Day anywhere between sixty and eighty dollars depending on device capabilities. What a bargain!…For the primary user. Second adult? Nah, can't do Show Mode, Alexa Hands-Free or WiFi calling. But children can do calls with approved contacts and permission from their parents! That hardly makes any sense — if you're not a child you don't get to make calls beyond the primary profile? Why? Speaking of kids, if you think that kids' launcher or adult settings will let you move off all of the kids' apps to an SD card, ha ha nope. So your child will very likely make using the tablet almost impossible after they stuff the internal storage with nothing but pointless games.For a couple, it makes even less sense to buy this for the intent of using voice recognition features. Sure, auto guy and shop girl can keep their profiles separate, but only one of them get the privilege of using all of the tablet's features. A second adult profile is like a grown-up kid, and feels almost demeaning, which likely means whoever wears the pants between two people will be the one with the primary account which does everything. And what if they want to share applications? There's no easy way to do this beyond reinstalling them on the other profile. I've looked, and there seems to be no way of easily sharing apps between adult profiles which especially makes installation of such things as Google Play a major drag without third-party guidance and tools.It's an Amazon device, so of course it will advertise Amazon everything — even Washington Post. If you don't use that service, too bad can't disable. If you don't care about Amazon's other services, too bad shove it in a folder on the Fire Launcher. Without tinkering beyond what Amazon allows you to do, it kind of makes using the tablet a terrible experience being inundated with all of these Amazon-owned things at once, and for some people the constant upselling is enough to warrant a return.If you can get over all of that — and again, if you are the sole adult of the tablet, none of the above save for the upsells are really an issue — then you have yourself a capable and handy little Android-based tablet which will do almost everything you want. A solid product with a mediocre and terribly flawed OS, but one if you've committed your entire life to Amazon may be welcome. As I exhibit no such brand loyalty I'm exceedingly annoyed, but all of the thorns and papercuts are nothing a little bit of tinkering cannot cleave and become rid of.EDIT 07/06/21.1: Minor correction, seems like while four-pole may fit, I can't use external mic with the tablet or Fire OS doesn't disclose how to do this.EDIT 07/06/21.2: Grammar and error corrections",,,,
3,"Wifi connection just ok, Libby added, WSJ app initial sign in problem This is my second HD8 Plus (2020) tablet and I use both mainly for reading newspapers and books.  Occasionally the wifi doesn't connect and I have to move closer to the router for the initial connection, which is maintained once connected when I return to the more remote location.  An earlier Fire 8 (2016) did not have the same connection problem in the same locations.  The Libby library app, which is not offered by the Amazon store but can be downloaded from another site, adds a significant dimension to the tablet.  I use Libby to borrow some books and read with the Amazon app.  An additional problem on the second tablet was getting the Amazon Wall Street Journal app - not the browser version via Silk - to accept my sign in  subscription credentials like it did easily for the first tablet. I contacted the WSJ for advice and tried a few of their tips, but none seems to work.  Then a few days later the sign in recognized my WSJ credentials and I was no longer denied access and subjected to the Amazon popup ad for the Amazon subscription.  I am still not sure why sign in  worked on my first tablet and not on the identical second - same system and app versions, too - and then eventually started to work on the second.  All is good now.",,,,
4,"Well, it's not an iPad... ...but it doesn't have to be one. Yes, I know, I'm comparing a $100+ device with one that at minimum costs several times more, but that's unavoidable. iPads are, after all, the gold standard of tablets, regardless of what those who stand firmly on the Android side of the fence think. Having said all of that, not everyone needs an iPad. For what it is, the Fire HD 8 Plus is a pretty decent device that will serve your content-consuming needs quite well for the price. In fact, you'll be hard-pressed to find any other Android-based tablet that even comes close to its functionality at the same price point.So, a bit about the specifics. This device runs Amazon's Fire OS, which is basically a reskinned version of Android, minus the Google apps that come on most Android-based devices. If this is an immediate turn-off, fear not - installing the Google apps is a relatively simple procedure that takes no more than a few minutes. Even disregarding them, this tablet offers a surprising amount of functionality for one of its price point. The Amazon App Store has a decent selection of apps available, although I've noticed that a few of them seem to not be updated as often as their counterparts through Google Play. Again, though, if this is an issue for anyone, it's easily fixed. Needless to say, app availability isn't going to be a problem for most people.Moving on, we have the specific focus of the device, which is consuming content, or more specifically, letting you line Lex Luthor's pockets. Fire OS is certain to take every opportunity available to shove content recommendations down your throat, which isn't necessarily a bad thing if you're looking for good stuff to read or watch. Fire OS includes a recommendations section at the top of the home screen that gives you recommendations based on your personal info and privacy that you signed away by using Amazon's ecosystem. For voracious readers, this can be a big boon, especially for those who like to discover new stuff to read. For others, it can be an annoyance, although really it's not so bad as it doesn't get in the way of anything.So, let's talk about the hardware real quick. The overall design of this device is decent, especially considering the low price. The casing is all plastic, yet not overly cheap feeling. In fact, it feels surprisingly rugged yet is quite light, meaning that you won't be straining your hand or tiring your arm during long reading sessions. The 8-inch screen seems to be the perfect size for reading ebooks. In fact, I much prefer it to the 10-inch model for this very purpose, as the latter seems to be a bit too unwieldy for my tastes. The screen quality, while nothing to write home about, is quite sufficient and doesn't detract from the quality of your time spent using the device. Still though, unless you're a stickler for color content, those who prefer reading bog-standard books may prefer a Kindle or other e-ink based device. But really, that's all just a matter of personal preference.The internals of this tablet are decent, again, for its price point. The key here, though, is the price point. You're not going to get an extremely powerful device for just over $100, so don't expect this tablet to expand your productivity options or to give you a riveting gaming experience. As an example of the latter, you won't be able to run Genshin Impact or Diablo Immortal on this device, as the hardware just isn't up to the task. For lighter games, though, it'll work fine. Just don't expect miracles.Overall, there's more I could nitpick here, such as the typical laggy experience that cheaper devices suffer from when burdened by an Android-based OS, but I think most people can live with such things when it comes to low-end hardware. For what the Fire HD 8 plus promises, you'll get a pretty decent content-consuming experience.",,,,
5,"Calling all manufacturers We need to start making more devices for people who need a more tactile experience...possible a few with the feel of a brick, or slab of concrete. Maybe like he bottom of my skid free Pumas. Possibly with goosebumps, suede, or fuzzy loose and wrinkled like the neck of a cat. In any event the slip factor feels like an Omen or something...I have to pray it every time it falls, drops or slides out of my hands that this is the end of its functionality, the beginning of trying to live with a few chips, cracked screen or other unpleasant eyesore after it collides with the mosaic tiles or metal stairway. All the devices designed like to this are very haphazard. Outter box not included.",,,,
6,,"The Perfect Budget E-Reader! I purchased this device looking for a way to read my kindle library and DMR free PDF books. I know the most would purchase a Kindle e-reader instead, but at the time of my purchase the cheapest Kindle available was $100, was only in black in white (I have many full color comics so that wasn't ideal) and had a 6"" screen. This tablet of course is in color, has an 8"" screen, and was on sale from amazon warehouse for $70. So why pay more for less. Despite being used the tablet showed up in great condition and I couldn't be happier with my purchase.",,,
7,,"A great update to the Fire tablet line This Amazon Fire HD 8 Plus is a great complementary device for those who already have a real computer.  This is true whether that real computer is a desktop or a laptop.  Windows 10 or Mac Os, it doesn't matter.  As long as you have a ""real"" computer, this Fire HD 8 Plus table is a great companion device.  Perhaps the best companion device for most people.I work in the IT field.  In my opinion, most people overbuy and overspend on technology devices.  Which is fine, buying that new toy can be fun.  For a while.  But know this.  A lot of you what buy, you can do without.  Let me explain.  A computing device like a desktop or a laptop gives you the most versatility.  Add a smart phone and those are all the tech needed by the majority of people.  Most do not need a writing tablet to draw on or take notes on.  Most just need a secondary device for portability and quick access.  A Fire tablet will do that.I own a Windows 10 and a Macbook laptops.  I also own an iPad.  Occasionally, I would use my Kindle reader and my old Fire HDX 7.  I only need three to meet all of my needs.  One laptop, my smart phone, and a tablet.  I only use the ipad to pick fights on Twitter, make quick purchases on Amazon, and check my email.  I may go on Facebook once in a while.  Guess what.  Any Windows 10 or Macbook would do those and with more versatility.  My smart phone would do all of those, although with a lot less versatility and more aggravation.  An Amazon Fire tablet will do all of those things, with more finesse and ease than a smart phone.  And just as well as an iPad.I bought this new Fire to replace a 2015 Fire HDX 7.  The HDX 7 is still in perfect shape.  The battery holds as much charge as when it was new.  But it no longer runs the Amazon shopping app.  That's the only thing wrong with it.  My Kindle is also of 2015 vintage.  That Kindle is also still in perfect condition.  But this newer model has updates that I wanted.  Like front and rear facing cameras.  The HDX 7 only has a front facing camera.  I wanted to run the Amazon shopping app, for ease of use.  I also wanted to start a relationship with the charming Alexa.  It doesn't mean I'm dumping Sirri though.I can readily recommend this Amazon Fire HD 8 Plus for most people who already have a true computer, whether it's Windows or Mac.  This is a great companion device for those who already have a computer.  It is a lot less expensive than an iPad and does almost as much.  It is also a lot more durable.  Most tablets are used for media consumption and social interactions.  You can do those on this Fire.  The only thing you might miss is a browser like Safari or Edge.  Silk works fine and it has gotten better over the years, but I still prefer a traditional browser.I did not order the wireless dock.  This Fire will be carried with me to work.  Charging with the USB is fine for now.  I bought the Amazon protective sleeve that was made for this device.  You want to keep your Fire in some kind of a protective sleeve so the screen does not get scratched.When you buy tech toys, find the sweet spot.  Always buy something that can be upgraded.  I have added more RAM as well as upgraded the hard drive to solid state on my 5-year-old Windows 10 laptop.  It still runs great after five years.  It is a high-end Lenovo model.  Likewise, I bought the Fire HD 8 Plus because you can add additional storage easily.  You cannot really upgrade an iPad.  I am not saying buy high end, but pay more up front and keep the device for a lot longer.This Fire HD 8 Plus is a fine device.  No, it will not meet the needs of the artists who wants to use a pen/stylus to draw.  It will not meet the requirements of the busy college student who wants to take precise notes by hand on a tablet.  But it will capably do email, twitter, facebook, Amazon purchases, take pictures, make videos, ebooks, audiobooks, just fine.  The Silk browser has gotten better and works well.",,,
8,,"Replaced my HD 10s I won't go into all of the technical aspects since those have been done to death (but perfectly) in many of the other reviews.I ordered this as a package with the wireless charger stand that converts it into an Alexa device when mated.  The package arrived within the two day Prime shipping time, so I guess the CV19 is having less of an effect on Amazon shipping as time passes.I actually had 2 Fire HD 10 tablets for complicated reasons that probably don't really fit the story.  I loved almost every aspect of the 10-inch tablet except the size when I was trying to read in bed.  It is just too big and awkward to comfortably hold.I quickly opened everything and powered up the tablet and started what I thought would be the normal configuration procedure.  Almost everything was the same as with the other two tablets I had with the exception of the annoying animated video you have to sit through that explains the different functions and benefits of the Fire tablets.  There really should be an option that allows the animation to be skipped, especially for repeat owners.  During the configuration process, the tablet does download the latest updates to the operating system.  Since I previously had a Fire tablet that I had deregistered, the configuration process gave me the option to download all of the apps, settings, etc. from that tablet.  The odd thing was that since I had two tablets it only gave me the option to sync the information from the tablet I had deregistered and performed a factory reset on over a week ago and not the tablet I had just deregistered yesterday.  Other than that, everything went very smoothly.After that process was complete, I went into YouTube and watched a video that I would recommend everyone with any of the Fire tablets should watch on Tips & Tricks for the Fire HD 8.  It is a short video and gives instructions on several settings changes that are very beneficial and do not affect the warranty or stability of the tablet.After getting everything configured to suit me I went to the Amazon APP store and downloaded a few more things that didn't transfer over from syncing the to the settings on one of my previous tablets.Amazon may censor this comment, but I also sideloaded the Google Playstore so I could download several other apps that were critical to me.After all that was completed, I was pleasantly surprised that several minor changes had been made to the user interface and other functions that are great improvements.  They are so subtle that most casual users may not even notice but I appreciate the upgrades.The tablet is very snappy and the apps all execute very quickly.  The screen resolution is lower than the 10-inch tablets but since the screen is smaller I cannot discern any difference in viewing quality of icons, photos, or video.  The placement of the stereo speakers is better than the 10-inch tablet but since the device is so small there probably isn't much benefit.  I did connect to my Bluetooth earbuds and watch part of a movie and the sound quality and stereo sound stage are excellent.The other improvements aside, the bottom line is that the form factor of the 8-inch table suits my needs much better.  This thing is very comfortable to hold and is still large enough to provide extremely good viewing quality at a fraction of the cost of Samsung and Apple tablets.  I have owned a couple of Samsung tablets and a Sony Xperia tablet in the past and for the most part, they are great tablets but are really overkill for the typical user.When you decide you need a tablet make sure you make an accurate assessment of your actual needs and don't buy something that is bigger or more than what you really need.Now...go read the in-depth technical writeups from other reviewers and more importantly watch several of the YouTube videos that demonstrate both the Fire HD 8 and HD 8 Plus to make sure they are right for you.",,,
9,,My Third Kindle I replaced a kindle that I have been using for at least a dozen years.  This one is the best yet!  Screen resolution is wonderful.  Battery life is so good that you really don't even consider it.  The controls are well placed for easy access and use.  I like this thing very much!,,,
